t,kernel,reduced
0.0,3.09,2.2100000000000004
0.1,2.491829387270382,1.8219747927539949
0.2,2.139491553138676,1.5749396759619785
0.30000000000000004,1.8991080643692413,1.400999746520202
0.4,1.71879684252766,1.2679080057771859
0.5,1.5755358399134654,1.159909912924425
0.6000000000000001,1.457430694548716,1.0689420075050262
0.7000000000000001,1.3574787755395297,0.9905796535555543
0.8,1.2711691776602831,0.9221641920220949
0.9,1.1954312488628644,0.8619312078368652
1.0,1.1281017497939496,0.8085994966209205
1.1,1.0676189414745412,0.76117276089883
1.2000000000000002,1.0128314515992174,0.7188401566980703
1.3,0.9628728750911422,0.6809233076140032
1.4000000000000001,0.9170773215181057,0.6468456179544335
1.5,0.8749217267487762,0.6161126713108211
1.6,0.8359861040088896,0.5882984576147864
1.7000000000000002,0.7999259738394544,0.5630349180605446
1.8,0.7664531183651804,0.5400035698108915
1.9000000000000001,0.7353220487700411,0.5189285675128504
2.0,0.706320406446831,0.499570841631641
2.1,0.6792620811576755,0.4817230921395042
2.2,0.6539822127620596,0.46520548721618393
2.3000000000000003,0.6303335047207941,0.4498619558097662
2.4000000000000004,0.6081834564985868,0.43555698657284253
2.5,0.5874122444378977,0.4221728614687389
2.6,0.5679110645415756,0.4096072638415487
2.7,0.5495808080809895,0.39777120970462104
2.8000000000000003,0.5323309803747346,0.3865872583015721
2.9000000000000004,0.516078800158443,0.3759879641008656
3.0,0.5007484355852339,0.36591453757269576
3.1,0.48627034572400724,0.35631568654084994
3.2,0.47258070528231944,0.3471466137263675
3.3000000000000003,0.45962089641932397,0.3383681493986466
3.4000000000000004,0.44733705578588684,0.32994600089900966
3.5,0.4356796679177371,0.32185010326458996
3.6,0.42460319821346104,0.3140540573099348
3.7,0.41406576022633196,0.3065346433654195
3.8000000000000003,0.40402881307517985,0.2992714004644868
3.9000000000000004,0.39445688556358094,0.2922462621495614
4.0,0.3853173241770136,0.28544324125830783
4.1000000000000005,0.3765800625650873,0.27884815708283067
4.2,0.3682174104523828,0.27244839918619457
4.3,0.36020386018573536,0.26623272293204014
4.4,0.3525159093379804,0.260191072450356
4.5,0.3451318979621586,0.25431442733967935
4.6000000000000005,0.3380318592356805,0.24859466990529883
4.7,0.3311973823578205,0.24302447016495074
4.800000000000001,0.32461148667098916,0.2375971862271052
4.9,0.3182585060700254,0.2323067779701326
5.0,0.3121239828467593,0.22714773223019777
5.1000000000000005,0.3061945701912114,0.22211499794756756
5.2,0.3004579426374027,0.21720392993020293
5.300000000000001,0.29490271380193445,0.21241024007446518
5.4,0.2895183608180833,0.2077299550392981
5.5,0.28429515491784374,0.20315937950565385
5.6000000000000005,0.2792240976596523,0.19869506427005912
5.7,0.2742968623409282,0.19433377852254205
5.800000000000001,0.2695057401724415,0.19007248574678384
5.9,0.26484359082620584,0.185908322756181
6.0,0.2603037970003819,0.1818385814450844
6.1000000000000005,0.25588022267383137,0.17786069289122028
6.2,0.2515671747497048,0.17397221349437103
6.300000000000001,0.24735936781198634,0.17017081287885147
6.4,0.2432518917414492,0.166454263324039
6.5,0.239240181958153,0.16282043051898584
6.6000000000000005,0.23531999207660495,0.1592672654646233
6.7,0.23148736877714227,0.1557927973708428
6.800000000000001,0.2277386287131047,0.15239512741630118
6.9,0.22407033728807352,0.14907242325659362
7.0,0.22047928915095483,0.1458229141818218
7.1000000000000005,0.21696249026909367,0.14264488683790577
7.2,0.2135171414509925,0.13953668143749992
7.300000000000001,0.21014062320067597,0.13649668839634185
7.4,0.2068304817953505,0.13352334533948165
7.5,0.20358441648683745,0.13061513442929656
7.6000000000000005,0.2004002677353642,0.12777057997364769
7.7,0.1972760063917465,0.12498824627811933
7.800000000000001,0.19420972375083295,0.12226673571110698
7.9,0.1911996224053691,0.11960468695470292
8.0,0.18824400783520473,0.11700077341793896
8.1,0.1853412806720728,0.11445370179207814
8.200000000000001,0.1824899295850344,0.1119622107303496
8.3,0.17968852473615657,0.10952506963686645
8.4,0.1769357117600981,0.10714107755149
8.5,0.17423020622505067,0.10480906211916026
8.6,0.1715707885359484,0.102527878633728
8.700000000000001,0.1689562992440412,0.10029640914763849
8.8,0.16638563472985266,0.09811356163995456
8.9,0.1638577432292264,0.09597826923618882
9.0,0.1613716211746339,0.09388948947426903
9.1,0.15892630982618153,0.09184620361169707
9.200000000000001,0.15652089216883405,0.0898474159696005
9.3,0.15415449005428697,0.08789215330993005
9.4,0.15182626156767187,0.08597946424253289
9.5,0.14953539860089562,0.08410841865924988
9.600000000000001,0.14728112461589207,0.08227810719254171
9.700000000000001,0.14506269258242818,0.08048764069646176
9.8,0.1428793830763549,0.07873614974806255
9.9,0.14073050252534214,0.07702278416755856
10.0,0.1386153815901909,0.07534671255576911
10.100000000000001,0.1365333736707839,0.0737071218475426
10.200000000000001,0.1344838535266275,0.07210321688001575
10.3,0.13246621600275285,0.070534219974694
10.4,0.13047987485249574,0.0689993705324553
10.5,0.12852426164936454,0.06749792464067904
10.600000000000001,0.12659882478083803,0.06602915469178856
10.700000000000001,0.12470302851751787,0.06459234901257337
10.8,0.12283635215159319,0.0631868115037205
10.9,0.12099828919906702,0.061811861289044964
11.0,0.11918834666064501,0.06046683237395641
11.100000000000001,0.11740604433659987,0.05915107331274574
11.200000000000001,0.11565091419130735,0.057863946884311825
11.3,0.11392249976349635,0.05660482977598252
11.4,0.11222035561858001,0.05537311227511407
11.5,0.11054404683972638,0.05416819796817823
11.600000000000001,0.10889314855460029,0.05298950344706922
11.700000000000001,0.10726724549495574,0.05183645802238301
11.8,0.10566593158648675,0.05070850344343799
11.9,0.10408880956655539,0.04960509362482356
12.0,0.10253549062760724,0.048525694379274835
12.100000000000001,0.10100559408426285,0.047469783156685784
12.200000000000001,0.09949874706223598,0.046436848789082746
12.3,0.09801458420737841,0.04542639124139078
12.4,0.09655274741328979,0.044437921367834275
12.5,0.09511288556605574,0.043470960673820294
12.600000000000001,0.09369465430479429,0.04252504108316085
12.700000000000001,0.09229771579679621,0.04159970471049699
12.8,0.09092173852614407,0.04069450363879263
12.9,0.08956639709478298,0.0398089997017723
13.0,0.08823137203510012,0.038942764271181055
13.100000000000001,0.08691634963314465,0.03809537804875012
13.200000000000001,0.08562102176169041,0.037266430862755294
13.3,0.08434508572240666,0.03645552146905932
13.4,0.08308824409646248,0.03566225735653284
13.5,0.0818502046029424,0.03488625455675233
13.600000000000001,0.08063067996450271,0.03412713745787583
13.700000000000001,0.07942938777974189,0.03338453862260061
13.8,0.07824605040180087,0.03265809861010977
13.9,0.07708039482274806,0.031947465801917256
14.0,0.07593215256333875,0.031252296231523036
14.100000000000001,0.07480105956777082,0.03057225341779287
14.200000000000001,0.07368685610308967,0.029907008201979293
14.3,0.072589286662921,0.029256238588302192
14.4,0.07150809987523771,0.028619629588010176
14.5,0.07044304841388754,0.027996873066844855
14.600000000000001,0.06939388891363191,0.027387667595833175
14.700000000000001,0.06836038188846427,0.0267917183053339
14.8,0.06734229165299555,0.02620873674226647
14.9,0.06633938624670957,0.025638440730452138
15.0,0.06535143736090757,0.02508055423399898
15.100000000000001,0.06437822026817473,0.024534807223663732
15.200000000000001,0.06341951375421381,0.024000935546125333
15.3,0.062475100051903806,0.023478680796105936
15.4,0.061544764777451244,0.02296779019127752
15.5,0.060628296868513475,0.02246801644989271
15.600000000000001,0.05972548852418014,0.021979117671080423
15.700000000000001,0.05883613514670994,0.02150085721774797
15.8,0.05796003528492527,0.021033003602032682
15.9,0.05709699057917669,0.02057533037324747
16.0,0.056246805707793696,0.020127616008265785
16.1,0.055409288334946044,0.019689643804292695
16.2,0.05458424905984407,0.019261201773970185
16.3,0.053771501367212496,0.018842082542765582
16.400000000000002,0.05297086157897679,0.018432083248593523
16.5,0.05218214880710496,0.01803100544362261
16.6,0.05140518490755197,0.01763865499821917
16.7,0.05063979443525843,0.01725484200698173
16.8,0.04988580460015682,0.01687938069682036
16.900000000000002,0.04914304522414364,0.01651208933703661
17.0,0.04841134869897721,0.016152790151360282
17.1,0.04769054994506417,0.015801309231900502
17.2,0.04698048637110056,0.01545747645496948
17.3,0.04628099783453435,0.015121125398737943
17.400000000000002,0.04559192660282013,0.014792093262682679
17.5,0.04491311731543661,0.014470220788786915
17.6,0.04424441694664124,0.014155352184455463
17.7,0.04358567476893657,0.013847335047107404
17.8,0.042936742317224934,0.013546020290409532
17.900000000000002,0.04229747335362971,0.013251262072115263
18.0,0.04166772383296211,0.012962917723473556
